id_mcc,mcc_description,uuid
7393,"Detective  agencies,  protective  agencies  and  security  services,  including  armoured  cars  and guard dogs",72dc935b-1df1-401e-a0d3-05ae7098617a
4722,Travel agencies and tour operators,74c38da4-d7dc-4a7b-811f-7f197de87189
4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",772c79e8-64b2-4a82-82db-0021e49b79a8
7230,Barber and Beauty Shops,775aafcd-53ed-4b70-9943-e9b3d5440d7f
4131,Bus Lines,78278ec8-7f17-4267-991e-59f8fb0c28ab
5261,"Lawn and garden supply outlets, including nurseries",7d41b6cf-6324-4b19-8b42-6dbad564b523
5814,Fast food restaurants,7d67def6-5d24-47b7-a0fb-1226b1fbf4a1
4121,Taxi-cabs and limousines,7f55f55c-af27-49d1-8613-f5d4d4d8027f
4121,Taxi-cabs and limousines,8067e1a3-1ff9-47de-8008-be46ed31c344
7276,Tax preparation services,80cbca79-88b8-4853-9868-593032c01e3c
5311,Department stores,82588728-e89d-452f-a9ca-62ae869f4bc8
7210,"Laundry, cleaning and garment services",885a3b04-e509-488b-bc9e-a4b917c50945
8931,"Accounting, Auditing, and Bookkeeping Services",88e27e34-bf92-45bf-bc48-eb018a83f75b
5193,"Florists’ supplies, nursery stock and flowers",8bc6b01f-15f0-443b-ba20-622fac961e4b
5251,Hardware shops,8ee7e4dc-e08c-4dc5-9e0c-f8732b36d489
5941,Sporting goods shops,8f11e232-983a-403c-a571-6a1429cb22a1
5977,Cosmetic Stores,8f1da74c-8d06-46c4-ab0b-8be535115450
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),90633cba-16cd-4661-bcab-9b215c225e2e
7549,Towing services,935098a1-3a1e-443c-8631-8714af6c52cc
4900,"Utilities — electric, gas, water and sanitary",946ed978-1c7a-4ff0-b905-add190083132
5311,Department stores,97520467-dff8-44a9-853f-807a18e7dfcc
4131,Bus Lines,977eb865-3baf-415c-b9ad-d07b2910cf43
5970,Artist’s Supply and Craft Shops,97ca8713-e065-403b-b6ca-ebdbce4b8ed8
5094,"Precious stones and metals, watches and jewellery",99195625-f977-4ba9-b8f0-30005e747933
5942,Book Stores,99a4e310-4b1b-46c9-9998-388c081062f3
5977,Cosmetic Stores,9a43ff35-e9b6-453e-8449-2d90a30bbb00
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers",9cc801ee-9203-4463-bbad-98d0e18b9fab
4784,Tolls and bridge fees,9dbf6d03-26ab-439f-a35e-48721fed8ac7
8111,Legal services and attorneys,9dd2f08b-63eb-4eeb-862b-4aa330875872
7832,Motion picture theatres,9f7c60b7-85b8-4715-96a3-e7e71ebc60a9
5712,"Furniture, home furnishings and equipment shops and manufacturers, except appliances",a1dfc4d5-94c6-4303-86f6-403b2284d18c
7922,Theatrical producers (except motion pictures) and ticket agencies,a207096a-4956-48f7-a4f2-27ff874efcaf
4511,Airlines and Air Carriers (Not Elsewhere Classified),a243738f-1c22-4e5c-9522-b7ab37df5017
8049,Podiatrists and chiropodists,a263b186-8a56-4297-8d00-df9726a317d1
4112,Passenger railways,a360316c-11ed-4a78-a985-98a313b8bcd1
5261,"Lawn and garden supply outlets, including nurseries",a95044e1-b095-4e6f-816a-2051f9ccb4ef
5719,Miscellaneous home furnishing speciality shops,aa926c7e-65c7-48a1-ae1a-963223f397e9
7349,"Cleaning, maintenance and janitorial services",ab70e8c7-8e90-4082-82da-f96b7e0cb74d
8931,"Accounting, Auditing, and Bookkeeping Services",ab85de15-c93d-49ce-8b4e-12619b09cf26
5211,Lumber and building materials outlets,acc677b9-afe2-44db-b69e-9cde0ef72c71
5970,Artist’s Supply and Craft Shops,ad1b32b2-7b08-4989-9d90-afaadec11925
5045,"Computers, computer peripheral equipment — not elsewhere classified",add75baf-5dbb-4905-bdd0-db4d697097d6
5733,"Music shops — musical instruments, pianos and sheet music",af6696ec-83c4-4428-ba9f-b0038e663706
6300,"Insurance sales, underwriting and premiums",b1734f52-9cc3-43f1-81ed-d9f92f917241
4214,"Motor freight carriers and trucking — local and long distance, moving and storage companies and local delivery",b481ffd4-6b1b-4482-bff5-32c07eabc8b6
